brand,year,season,cover_photo,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,photo_7,photo_8,photo_9
Gucci,2019,RTW Fall,gucci_f_2019_c.jpg,gucci_f_2019_1.jpg,gucci_f_2019_2.jpg,gucci_f_2019_3.jpg,gucci_f_2019_4.jpg,gucci_f_2019_5.jpg,gucci_f_2019_6.jpg,gucci_f_2019_7.jpg,gucci_f_2019_8.jpg,gucci_f_2019_9.jpg
Prada,2019,RTW Fall,prada_f_2019_c.jpg,prada_f_2019_1.jpg,prada_f_2019_2.jpg,prada_f_2019_3.jpg,prada_f_2019_4.jpg,prada_f_2019_5.jpg,prada_f_2019_6.jpg,prada_f_2019_7.jpg,prada_f_2019_8.jpg,prada_f_2019_9.jpg
Fendi,2019,RTW Fall,fendi_f_2019_c.jpg,fendi_f_2019_1.jpg,fendi_f_2019_2.jpg,fendi_f_2019_3.jpg,fendi_f_2019_4.jpg,fendi_f_2019_5.jpg,fendi_f_2019_6.jpg,fendi_f_2019_7.jpg,fendi_f_2019_8.jpg,fendi_f_2019_9.jpg
Versace,2019,RTW Fall,versace_f_2019_c.jpg,versace_f_2019_1.jpg,versace_f_2019_2.jpg,versace_f_2019_3.jpg,versace_f_2019_4.jpg,versace_f_2019_5.jpg,versace_f_2019_6.jpg,versace_f_2019_7.jpg,versace_f_2019_8.jpg,versace_f_2019_9.jpg
Saint Laurent,2019,RTW Fall,ysl_f_2019_c.jpg,ysl_f_2019_1.jpg,ysl_f_2019_2.jpg,ysl_f_2019_3.jpg,ysl_f_2019_4.jpg,ysl_f_2019_5.jpg,ysl_f_2019_6.jpg,ysl_f_2019_7.jpg,ysl_f_2019_8.jpg,ysl_f_2019_9.jpg
Givenchy,2019,RTW Fall,givenchy_f_2019_c.jpg,givenchy_f_2019_1.jpg,givenchy_f_2019_2.jpg,givenchy_f_2019_3.jpg,givenchy_f_2019_4.jpg,givenchy_f_2019_5.jpg,givenchy_f_2019_6.jpg,givenchy_f_2019_7.jpg,givenchy_f_2019_8.jpg,givenchy_f_2019_9.jpg
Balmain,2019,RTW Fall,balmain_f_2019_c.jpg,balmain_f_2019_1.jpg,balmain_f_2019_2.jpg,balmain_f_2019_3.jpg,balmain_f_2019_4.jpg,balmain_f_2019_5.jpg,balmain_f_2019_6.jpg,balmain_f_2019_7.jpg,balmain_f_2019_8.jpg,balmain_f_2019_9.jpg
Balenciaga,2019,RTW Fall,balenciaga_f_2019_c.jpg,balenciaga_f_2019_1.jpg,balenciaga_f_2019_2.jpg,balenciaga_f_2019_3.jpg,balenciaga_f_2019_4.jpg,balenciaga_f_2019_5.jpg,balenciaga_f_2019_6.jpg,balenciaga_f_2019_7.jpg,balenciaga_f_2019_8.jpg,balenciaga_f_2019_9.jpg
Louis Vuitton,2019,RTW Fall,lv_f_2019_c.jpg,lv_f_2019_1.jpg,lv_f_2019_2.jpg,lv_f_2019_3.jpg,lv_f_2019_4.jpg,lv_f_2019_5.jpg,lv_f_2019_6.jpg,lv_f_2019_7.jpg,lv_f_2019_8.jpg,lv_f_2019_9.jpg
Giorgio Armani,2019,RTW Fall,ga_f_2019_c.jpg,ga_f_2019_1.jpg,ga_f_2019_2.jpg,ga_f_2019_3.jpg,ga_f_2019_4.jpg,ga_f_2019_5.jpg,ga_f_2019_6.jpg,ga_f_2019_7.jpg,ga_f_2019_8.jpg,ga_f_2019_9.jpg
Tom Ford,2019,RTW Fall,tf_f_2019_c.jpg,tf_f_2019_1.jpg,tf_f_2019_2.jpg,tf_f_2019_3.jpg,tf_f_2019_4.jpg,tf_f_2019_5.jpg,tf_f_2019_6.jpg,tf_f_2019_7.jpg,tf_f_2019_8.jpg,tf_f_2019_9.jpg
